,horse_id
280,52637
281,347313
282,474606
283,482135
284,435787
285,509888
286,151273
287,512188
288,320979
289,521823
290,508929
291,510444
292,521676
293,522018
294,59004
295,476553
296,389140
297,496109
298,40178
299,353322
300,485704
301,121067
302,517807
303,396955
304,474606
305,516620
306,477856
307,508853
308,503818
309,514352
310,347313
311,435787
312,473807
313,52637
314,482135
315,511880
316,510139
317,502574
318,497839
319,501593
320,427949
321,347943
322,54080
323,9767
324,401637
325,496102
326,3389
327,487717
328,460937
329,457306
330,514296
331,482488
332,426909
333,485061
334,520112
335,209377
336,52345
337,66791
338,508928
339,433357
340,508853
341,511581
342,521877
343,365356
344,497839
345,511581
346,501593
347,502574
348,510139
349,511880
350,514352
351,508217
352,492413
353,502170
354,504781
355,491949
356,501553
357,497958
358,65953
359,427949
360,199420
361,177989
362,433306
363,488067
364,79911
365,440295
366,410809
367,193402
368,165997
369,490893
370,11804
371,348698
372,359544
373,25610
374,511964
375,425960
376,463200
377,510933
378,490730
379,511966
380,411422
381,90650
382,493297
383,141901
384,501553
385,497958
386,502170
387,491949
388,492413
389,504781
390,508217
391,428596
392,151153
393,482135
394,511880
395,501593
396,473807
397,514352
398,450207
399,507578
400,382777
401,510933
402,517471
403,173467
404,486625
405,491142
406,6754
407,339
408,513895
409,520817
410,107138
411,473807
412,2316
413,511880
414,514352
415,482135
416,450207
417,491142
418,507578
419,501593
420,473807
421,504411
422,412316
423,514352
424,435787
425,516620
426,509645
427,517060
428,511287
429,62792
430,468854
431,53955
432,516097
433,410756
434,361307
435,82900
436,425615
437,478710
438,467005
439,435787
440,516620
441,479815
442,512044
443,31490
444,133196
445,215857
446,509008
447,519623
448,145893
449,13312
450,473807
451,515333
452,514352
453,516620
454,505428
455,383521
456,504411
457,449007
458,509645
459,139410
460,435787
461,517060
462,476065
463,516101
464,82400
465,94670
466,515577
467,59918
468,508129
469,21879
470,486614
471,519802
472,521037
473,515577
474,204777
475,448230
476,41113
477,387711
478,22415
479,86092
480,426103
481,385839
482,437783
483,140168
484,195410
485,389920
486,412814
487,413021
488,517469
489,517471
490,500359
491,502919
492,153715
493,519184
494,518785
495,134103
496,93050
497,424332
498,509040
499,442541
500,140201
501,441676
502,3398
503,418779
504,75034
505,158755
506,80693
507,401949
508,185192
509,351612
510,438501
511,435787
512,511880
513,60956
514,104445
515,390377
516,390225
517,153480
518,386789
519,102539
520,508431
521,470683
522,349037
523,155273
524,104445
525,482482
526,28719
527,13967
528,10138
529,13046
530,105393
531,471042
532,489031
533,187128
534,514958
535,426909
536,519702
537,461881
538,6074
539,403130
540,385583
541,474458
542,2760
543,482482
544,518361
545,201450
546,427311
547,165997
548,406128
549,452985
550,191393
551,23323
552,470740
553,440295
554,441927
555,347943
556,470740
557,485704
558,480485
559,489304
560,87124
561,5743
562,520092
563,35369
564,429088
565,212785
566,87258
567,155586
568,476713
569,415798
570,207425
571,142186
572,389538
573,511880
574,500359
575,516101
576,449007
577,412316
578,515333
579,22738
580,516620
581,381703
582,519184
583,365665
584,476065
585,515191
586,212013
587,178981
588,450207
589,474606
590,514352
591,60956
592,26358
593,514958
594,433586
595,422419
596,211819
597,520109
598,434661
599,423794
600,54168
601,300878
602,168892
603,388034
604,452784
605,452773
606,149250
607,521037
608,517099
609,392165
610,520113
611,516845
612,440583
613,28229
614,132211
615,331976
616,481110
617,509039
618,468854
619,493297
620,517378
621,520250
622,401294
623,366723
624,89664
625,8504
626,468987
627,439701
628,474887
629,9124
630,468987
631,338827
632,519241
633,464088
634,419545
635,148932
636,516035
637,520980
638,514958
639,510444
640,486921
641,426804
642,395150
643,559
644,514352
645,473807
646,505529
647,151892
648,439701
649,446830
650,479884
651,440583
652,511797
653,6754
654,519263
655,515894
656,378409
657,414804
658,507749
659,173852
660,154838
661,382777
662,399256
663,8504
664,508219
665,492174
666,518316
667,508129
668,519986
669,376712
670,149250
671,21263
672,382443
673,428578
674,423380
675,389016
676,77965
677,520054
678,195475
679,35509
680,415386
681,9761
682,519935
683,465014
684,16230
685,483052
686,353322
687,490301
688,401294
689,483558
690,433082
691,449340
692,338827
693,96192
694,419774
695,395875
696,472703
697,489304
698,501289
699,501643
700,501335
701,174199
702,446971
703,446985
704,1771
705,468987
706,453998
707,124333
708,392220
709,521823
710,559
711,483486
712,503500
713,507659
714,517039
715,481083
716,492542
717,508182
718,77965
719,493519
720,465013
721,485062
722,485187
723,458556
724,418609
725,426578
726,491030
727,186939
728,503423
729,494567
730,521560
731,303879
732,451709
733,418348
734,215864
735,343872
736,516097
737,521823
738,328313
739,418600
740,7271
741,459683
742,474606
743,509645
744,451248
745,450207
746,447006
747,27644
748,456679
749,84654
750,368192
751,502832
752,509579
753,28229
754,516788
755,418600
756,56753
757,516035
758,510933
759,513895
760,499224
761,508929
762,461945
763,516097
764,148615
765,72357
766,445723
767,34558
768,509030
769,399410
770,505428
771,509008
772,509039
773,509970
774,21676
775,11804
776,516710
777,14952
778,7271
779,91755
780,159505
781,156905
782,473807
783,514352
784,517647
785,191948
786,474389
787,4955
788,505439
789,513059
790,483925
791,193402
792,469582
793,505529
794,87258
795,517367
796,7330
797,203495
798,393141
799,326106
800,441498
801,518738
802,378537
803,518737
804,518736
805,488337
806,471358
807,485205
808,388974
809,433953
810,421239
811,421238
812,444074
813,516031
814,426804
815,198274
816,507583
817,350812
818,136426
819,452495
820,516710
821,422424
822,513751
823,341939
824,514352
825,491232
826,468854
827,199523
828,518772
829,169506
830,453998
831,448401
832,433586
833,374989
834,456627
835,457346
836,483808
837,482462
838,517647
839,521560
840,160960
841,480777
842,456796
843,446791
844,446783
845,517807
846,519955
847,502800
848,339627
849,380901
850,445782
851,418027
852,115931
853,366723
854,415386
855,481110
856,428578
857,520075
858,27290
859,519623
860,520109
861,81287
862,518772
863,489031
864,451685
865,508754
866,521658
867,508601
868,331976
869,521401
870,392645
871,517439
872,390377
873,438704
874,517439
875,23984
876,419706
877,212909
878,464582
879,206511
880,426935
881,413878
882,460694
883,464583
884,451703
885,451706
886,468906
887,433463
888,451683
889,433502
890,441051
891,189957
892,320053
893,343849
894,390298
895,320381
896,184115
897,212908
898,119988
899,212912
900,138734
901,355393
902,442252
903,389312
904,417686
905,407558
906,429464
907,410781
908,464236
909,377774
910,366221
911,516788
912,418725
913,8032
914,134103
915,196351
916,369092
917,514153
918,460937
919,403130
920,419421
921,351612
922,521309
923,155762
924,414430
925,5500
926,514960
927,215183
928,178981
929,474887
930,9132
931,214411
932,517678
933,412715
934,517367
935,450931
936,511459
937,387454
938,418460
939,484979
940,441676
941,117453
942,508992
943,202812
944,450257
945,490158
946,135161
947,517039
948,99646
949,505826
950,508992
951,336924
952,509030
953,370859
954,514727
955,370862
956,514897
957,509040
958,40178
959,121482
960,121504
961,141901
962,160501
963,409227
964,409228
965,417093
966,438052
967,154925
968,358733
969,408811
970,516845
971,492941
972,486266
973,446830
974,408811
975,92315
976,440595
977,479814
978,152010
979,6737
980,521402
981,151994
982,485835
983,132539
984,514960
985,506949
986,81245
987,54392
988,121193
989,155405
990,151273
991,153715
992,151892
993,155762
994,164553
995,173852
996,152010
997,151994
998,86005
999,59004
1000,35509
1001,5743
1002,19906
1003,24711
1004,508219
1005,471597
1006,521037
1007,508718
1008,517674
1009,162856
1010,210373
1011,516139
1012,410723
1013,1890
1014,13994
1015,511797
1016,500359
1017,440583
1018,439701
1019,410756
1020,382777
1021,149912
1022,42523
1023,135014
1024,382167
1025,532
1026,11660
1027,28300
1028,369461
1029,519263
1030,448230
1031,442257
1032,440595
1033,441031
1034,433463
1035,132539
1036,72527
1037,508840
1038,173852
1039,151994
1040,468906
1041,162856
1042,451685
1043,451248
1044,442252
1045,441051
1046,410809
1047,403073
1048,21067
1049,135014
1050,131227
1051,62335
1052,382167
1053,388969
1054,396175
1055,510412
1056,516097
1057,471597
1058,5425
1059,6632
1060,395150
1061,499249
1062,508853
1063,470893
1064,434358
1065,447006
1066,512605
1067,516139
1068,509645
1069,488924
1070,380099
1071,419013
1072,510431
1073,348521
1074,380099
1075,365665
1076,345421
1077,328313
1078,130560
1079,81245
1080,62335
1081,26102
1082,21879
1083,471597
1084,21676
1085,13994
1086,516030
1087,101766
1088,50181
1089,426859
1090,433357
1091,518316
1092,239828
1093,506544
1094,482511
1095,490834
1096,31393
1097,106600
1098,438501
1099,388940
1100,471597
1101,508853
1102,511459
1103,512605
1104,513751
1105,67455
1106,402048
1107,516030
1108,517674
1109,477915
1110,392982
1111,460946
1112,52131
1113,439787
1114,514877
1115,518830
1116,510431
1117,514153
1118,399071
1119,183950
1120,9208
1121,33704
1122,508431
1123,79867
1124,22505
1125,2454
1126,510412
1127,518101
1128,394902
1129,14971
1130,132062
1131,521451
1132,141217
1133,13348
1134,507332
1135,25504
1136,203821
1137,75699
1138,213583
1139,110215
1140,516097
1141,496872
1142,461788
1143,119288
1144,369092
1145,418721
